rank,model,accuracy,balanced_accuracy,macro_f1,weighted_f1,training_seconds,timestamp_utc
1,random_forest_tuned,0.7316135022216327,0.3731466898081313,0.3848972608239001,0.7174759270307817,12.480416600010358,2026-08-05 18:55:42.110078+00:00
2,logistic_regression,0.4636028030152309,0.3605435886206823,0.1922478048781252,0.556451158710524,94.3205292999046,2026-08-05 16:20:55.093654+00:00
3,random_forest,0.7159139642328183,0.3314212748520262,0.3164107023178451,0.7072400104519566,79.40494829998352,2026-08-05 16:22:16.119814+00:00
4,dummy,0.609792868669452,0.0909090909090909,0.0688731033818109,0.4619816001389842,0.0665861000306904,2026-08-05 16:19:19.938249+00:00
