feature,importance
DEPTH_MD,0.14291981854984445
RHOB,0.12235393969340969
GR,0.11384861870624301
DTC,0.1128586094084218
RDEP,0.09209646561769246
CALI,0.07623382291647111
NPHI,0.06945490013815672
SP,0.06943405910849611
RMED,0.06629319210483421
PEF,0.02789447917660445
missingindicator_RMED,0.02244698796192324
missingindicator_PEF,0.019992034703667404
missingindicator_SP,0.013948707996794043
missingindicator_NPHI,0.013217450660492524
missingindicator_CALI,0.011116080804177579
missingindicator_RHOB,0.01071005544111004
missingindicator_DTC,0.008088102324217526
missingindicator_GR,0.007078569257059821
missingindicator_RDEP,1.3016229172454114e-05
missingindicator_DEPTH_MD,1.0892012114442221e-06
